SCRIPT_TIME,DS_TIME,DS_TEMP,DS_PRECIP,DS_PRECIP_INT,DS_HUM,DS_PRESSURE,DS_STORM_DIST
2018-12-23 21:15:03,2018-12-23 21:15:04,3.71,1,1.4935,0.91,1020.48,0
2018-12-23 21:18:04,2018-12-23 21:18:04,3.7,1,1.3132,0.91,1020.53,0
2018-12-23 21:21:04,2018-12-23 21:21:04,3.7,0.99,0.7112,0.91,1020.59,0
2018-12-23 21:24:03,2018-12-23 21:24:04,3.69,0.9,0.6325,0.91,1020.65,0
2018-12-23 21:27:04,2018-12-23 21:27:05,3.69,1,0.3099,0.91,1020.71,0
2018-12-23 21:30:04,2018-12-23 21:30:04,3.69,1,0.3581,0.91,1020.76,0
2018-12-23 21:33:04,2018-12-23 21:33:04,3.69,1,0.5613,0.9,1020.82,0
2018-12-23 21:36:04,2018-12-23 21:36:05,3.69,1,0.5105,0.9,1020.88,0
2018-12-23 21:39:04,2018-12-23 21:39:04,3.69,1,0.5055,0.9,1020.94,0
2018-12-23 21:42:04,2018-12-23 21:42:04,3.68,1,0.5309,0.9,1020.99,0
2018-12-23 21:45:04,2018-12-23 21:45:05,3.68,1,0.7772,0.9,1021.05,0
2018-12-23 21:48:04,2018-12-23 21:48:04,5.16,1,0.4775,0.9,1021.11,0
2018-12-23 21:51:04,2018-12-23 21:51:05,5.13,1,0.4597,0.9,1021.17,0
2018-12-23 21:54:04,2018-12-23 21:54:04,5.09,1,0.5105,0.9,1021.23,0
2018-12-23 21:57:03,2018-12-23 21:57:04,5.07,1,0.5563,0.9,1021.28,0
2018-12-23 22:00:04,2018-12-23 22:00:05,5.03,1,0.4369,0.9,1021.34,0
2018-12-23 22:03:03,2018-12-23 22:03:04,5.03,1,0.5055,0.9,1021.4,0
2018-12-23 22:06:03,2018-12-23 22:06:04,5.02,1,0.1778,0.9,1021.45,0
2018-12-23 22:09:04,2018-12-23 22:09:05,5.01,0.89,0.1549,0.9,1021.51,0
2018-12-23 22:12:04,2018-12-23 22:12:05,5,0.85,0.1016,0.9,1021.57,0
2018-12-23 22:15:04,2018-12-23 22:15:04,4.99,0.51,0.1295,0.9,1021.63,0
2018-12-23 22:18:04,2018-12-23 22:18:05,4.98,0.86,0.3099,0.9,1021.68,0
2018-12-23 22:21:04,2018-12-23 22:21:05,4.97,0.96,0.254,0.89,1021.74,0
2018-12-23 22:24:04,2018-12-23 22:24:05,4.96,1,0.2845,0.89,1021.8,0
2018-12-23 22:27:04,2018-12-23 22:27:04,4.95,0.9,0.2515,0.89,1021.86,0
2018-12-23 22:30:04,2018-12-23 22:30:05,4.94,1,0.3302,0.89,1021.91,0
2018-12-23 22:33:04,2018-12-23 22:33:05,4.93,0.99,0.2743,0.89,1021.97,0
2018-12-23 22:36:04,2018-12-23 22:36:04,4.92,0.01,0.0762,0.89,1022.03,0
2018-12-23 22:39:04,2018-12-23 22:39:05,4.91,0.09,0.0762,0.89,1022.09,0
